thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3821575000183657],,,,,,,0,0,0,0,0,0,0,1,,,,,0.02204619999974966,,0.013394800014793873,0.02204619999974966,0.30549040000187233,0.30549040000187233,0.32226640003500506,0.6756415000418201,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3821575000183657],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.30278899997938424],,,,,,,0,0,0,0,0,1,1,0,,,,,0.6887878000270575,,0.6777548000100069,0.6887878000270575,0.9884445000207052,0.9884445000207052,0.9884445000207052,1.2759697000146843,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.30278899997938424],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3667604000074789],,,,,,,0,0,0,0,1,0,2,1,,,,,1.2885772000299767,,1.2784183000330813,1.2885772000299767,1.5894886000314727,1.5894886000314727,1.5894886000314727,1.940487700048834,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3667604000074789],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.2851284999633208],,,,,,,0,0,0,0,1,1,3,0,,,,,1.9552559000439942,,1.9427840000134893,1.9552559000439942,2.2555659000063315,2.2555659000063315,2.2555659000063315,2.5273220000090078,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.2851284999633208],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
0,0,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.6976832000073045],0,0,0,0,,,,,0,0,0,0,2.538397399999667,,,,,,,,,,,,,,2.5348418000503443,2.538397399999667,2.839454200002365,2.839454200002365,2.839454200002365,3.524760600004811,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.6976832000073045],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3029310000129044],0,0,0,0,,,,,0,1,1,1,3.538921300030779,,,,,,,,,,,,,,3.526857700024266,3.538921300030779,3.8389625000418164,3.8389625000418164,3.8389625000418164,4.126673000049777,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3029310000129044],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3834101000102237],0,0,0,0,,,,,1,0,2,1,4.13861480000196,,,,,,,,,,,,,,4.129865900031291,4.13861480000196,4.43875410000328,4.43875410000328,4.43875410000328,4.808573400019668,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3834101000102237],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.38431860000127926],0,0,0,0,,,,,1,1,3,0,4.822388700034935,,,,,,,,,,,,,,4.810860200028401,4.822388700034935,5.1229194000479765,5.1229194000479765,5.1229194000479765,5.492838500009384,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.38431860000127926],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.6499692000215873],,,,,,,1,0,1,0,0,0,0,0,,,,,5.505123800016008,,5.497594400017988,5.505123800016008,5.805893200042192,5.805893200042192,5.805893200042192,6.442219400021713,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.6499692000215873],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.26796660001855344],,,,,,,1,0,1,0,0,1,1,1,,,,,6.455472500005271,,6.444518800009973,6.455472500005271,6.755093100015074,6.755093100015074,6.755093100015074,7.008784800011199,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.26796660001855344],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.2647846000036225],,,,,,,1,0,1,0,1,0,2,0,,,,,7.021828400029335,,7.011278200021479,7.021828400029335,7.321985200047493,7.321985200047493,7.321985200047493,7.5743984000291675,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.2647846000036225],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.24832800001604483],,,,,,,1,0,1,0,1,1,3,1,,,,,7.589484700001776,,7.576711300003808,7.589484700001776,7.871652500005439,7.871652500005439,7.905276600038633,8.107496700016782,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.24832800001604483],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
0,0,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.6178361999918707],1,0,1,0,,,,,0,0,0,1,8.121845700021368,,,,,,,,,,,,,,8.11260220000986,8.121845700021368,8.421659300045576,8.421659300045576,8.421659300045576,9.02491530001862,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.6178361999918707],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.3496379000134766],1,0,1,0,,,,,0,1,1,0,9.038713600020856,,,,,,,,,,,,,,9.026965300028678,9.038713600020856,9.338522300007753,9.338522300007753,9.338522300007753,9.674649600056,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.3496379000134766],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.41508790000807494],1,0,1,0,,,,,1,0,2,0,9.6887225000537,,,,,,,,,,,,,,9.676851700001862,9.6887225000537,9.988685800053645,9.988685800053645,9.988685800053645,10.391471300041303,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.41508790000807494],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.4005139999790117],1,0,1,0,,,,,1,1,3,1,10.405358400021214,,,,,,,,,,,,,,10.393483100051526,10.405358400021214,10.70512920001056,10.70512920001056,10.70512920001056,11.092013700050302,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.4005139999790117],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.43296520004514605],,,,,,,2,0,2,0,0,0,0,0,,,,,11.105215000046883,,11.09656240005279,11.105215000046883,11.405282200023066,11.405282200023066,11.405282200023066,11.82431680004811,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.43296520004514605],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.2860803999938071],,,,,,,2,0,2,0,0,1,1,1,,,,,11.83823570003733,,11.826422200014349,11.83823570003733,12.13906500005396,12.13906500005396,12.13906500005396,12.410243000020273,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.2860803999938071],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.33249739999882877],,,,,,,2,0,2,0,1,0,2,0,,,,,12.421749100030866,,12.412937400047667,12.421749100030866,12.722478800045792,12.722478800045792,12.722478800045792,13.04110730002867,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.33249739999882877],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3483428999898024],,,,,,,2,0,2,0,1,1,3,1,,,,,13.054979600012302,,13.043384600023273,13.054979600012302,13.356296000012662,13.356296000012662,13.356296000012662,13.691852000018116,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.3483428999898024],,,,,,,,,,,,,pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
0,0,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.5365263000130653],2,0,2,0,,,,,0,0,0,0,13.705174200003967,,,,,,,,,,,,,,13.696774500014726,13.705174200003967,14.005649300001096,14.005649300001096,14.005649300001096,14.527795500005595,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.5365263000130653],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
1,1,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.2981794999795966],2,0,2,0,,,,,0,1,1,1,14.53913950000424,,,,,,,,,,,,,,14.530008000030648,14.53913950000424,14.83887410000898,14.83887410000898,14.83887410000898,15.124278300034348,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.2981794999795966],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
2,0,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.42077789996983483],2,0,2,0,,,,,1,0,2,1,15.138602500024717,,,,,,,,,,,,,,15.126472800038755,15.138602500024717,15.438887600030284,15.438887600030284,15.438887600030284,15.844572300033178,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[0],[0],[1],[0.42077789996983483],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
3,1,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.35837130004074425],2,0,2,0,,,,,1,1,3,0,15.855490000045393,,,,,,,,,,,,,,15.847761500044726,15.855490000045393,16.155772800033446,16.155772800033446,16.155772800033446,16.500351100054104,[np.float64(-0.30666666666666664)],[np.float64(0.30833333333333335)],[1],[0],[0],[0.35837130004074425],pilot,001,2025-06-17_22h32.41.603,mouse,,2025.1.1,60.13916201638397,2025-06-17 22h32.43.826529 +0200,
